Timestamp,name,reb,team,age,games_played,win,loose,minutes_played,points,field_goal_made,field_goal_attempted,three_made,three_attempted,free_made,free_attempted,of_r,df_r,assist,turnover,steals,block
12/08/2023 14:35:49,Jayson Tatum,649,BOS,25,74,52,22,2732.2,2225,727,1559,240,686,531,622,78,571,342,213,78,51
12/08/2023 14:36:29,Joel Embiid,670,PHI,29,66,43,23,2284.1,2183,728,1328,66,200,661,771,113,557,274,226,66,112
12/08/2023 14:37:09,Luka Doncic,569,DAL,24,66,33,33,2390.5,2138,719,1449,185,541,515,694,54,515,529,236,90,33
12/08/2023 14:37:49,Shai Gilgeous-Alexander,329,OKC,24,68,33,35,2416,2135,704,1381,58,168,669,739,59,270,371,192,112,65
12/08/2023 14:38:28,Giannis Antetokounmpo,742,MIL,28,63,47,16,2023.6,1959,707,1278,47,171,498,772,137,605,359,246,52,51
12/08/2023 14:39:09,Anthony Edwards,458,MIN,21,79,40,39,2841.5,1946,707,1541,213,578,319,422,47,411,350,259,125,58
12/08/2023 14:39:50,Julius Randle,767,NYK,28,77,44,33,2737.3,1936,658,1432,218,636,402,531,141,626,316,216,49,21
12/08/2023 14:40:31,Donovan Mitchell,289,CLE,26,68,44,24,2432.4,1922,679,1402,245,635,319,368,63,226,301,180,99,27
12/08/2023 14:41:10,Trae Young,217,ATL,24,73,38,35,2540.7,1914,597,1390,154,460,566,639,56,161,741,300,80,9
12/08/2023 14:41:51,Zach LaVine,345,CHI,28,77,38,39,2767.9,1913,673,1388,204,544,363,428,42,303,327,194,69,18
12/08/2023 14:42:31,Damian Lillard,277,POR,32,58,27,31,2106.6,1866,556,1202,244,658,510,558,44,233,425,191,50,18
12/08/2023 14:43:12,De'Aaron Fox,306,SAC,25,73,44,29,2435.2,1826,682,1331,119,367,343,440,40,266,447,181,83,23
12/08/2023 14:43:53,DeMar DeRozan,343,CHI,33,74,37,37,2681.6,1816,657,1303,46,142,456,523,34,309,377,153,83,36
12/08/2023 14:44:38,Jaylen Brown,459,BOS,26,67,46,21,2404.9,1784,679,1383,163,487,263,344,78,381,232,197,75,26
12/08/2023 14:45:23,Pascal Siakam,556,TOR,29,71,35,36,2652,1720,630,1313,93,287,367,474,131,425,415,169,65,36
12/08/2023 14:46:10,Lauri Markkanen,570,UTA,26,66,32,34,2272.5,1691,571,1144,200,510,349,399,130,440,123,127,42,38
12/08/2023 14:46:54,Nikola Jokic,817,DEN,28,69,48,21,2323,1690,646,1022,57,149,341,415,167,650,678,247,87,47
12/08/2023 14:47:39,Jalen Green,284,HOU,21,76,20,56,2602.2,1683,566,1359,187,554,364,463,43,241,281,200,59,18
12/08/2023 14:48:20,Jordan Poole,225,GSW,24,82,44,38,2458.1,1675,550,1278,214,637,361,415,32,193,369,252,63,21
12/08/2023 14:49:02,Mikal Bridges,364,BKN,26,83,42,41,2963.2,1671,593,1267,169,442,316,353,79,285,273,127,91,61
12/08/2023 14:49:44,Stephen Curry,341,GSW,35,56,30,26,1941.2,1648,559,1133,273,639,257,281,39,302,352,179,52,20
